classification,avg_daily_pnl,worst_drawdown
Extreme Fear,52793.589177857146,-135418.34800399997
Extreme Greed,23817.292198885963,-137369.608718
Fear,36891.81804002198,-135685.66605199996
Greed,11140.566181093263,-419020.2257310003
Neutral,19297.323515671644,-312613.8432749994
