classification,total_pnl,avg_pnl,median_pnl,total_trades,win_rate,avg_trade_size_usd,total_volume_usd,avg_fee
Extreme Fear,739110.24849,34.53786207897196,0.0,21400,37.0607476635514,5349.7318429906545,114484261.44,1.116291305578827
Extreme Greed,2715171.310673,67.89286133909282,0.0,39992,46.49429885977195,3112.2515645629123,124465164.57,0.6759018169921485
Fear,3357155.441642,54.2903996254993,0.0,61837,42.07675016575836,7816.109930785776,483324789.79,1.495171962969659
Greed,2150129.272951,42.74355948851957,0.0,50303,38.48279426674354,5736.884375086974,288582494.72,1.254372343183673
Neutral,1292920.67555,34.30771839807886,0.0,37686,39.69909250119408,4782.732661465797,180242063.08,1.044798288591806
